,wsi,entropy,sample_num,class_0,class_1,class_2,total_class
0,03_G144,3.0519,696,596,70,30,3
1,03_G34,2.9646,653,608,45,0,2
2,03_G139-1,2.7312,1306,1244,62,0,2
3,03_G170,2.7271,361,319,24,18,3
4,03_G180,2.6927,1047,932,115,0,2
5,03_G142,2.6543,4527,4310,192,25,3
6,03_G143,2.636,442,363,73,6,3
7,03_G109-2,2.622,1039,823,216,0,2
8,03_G262,2.6053,680,643,37,0,2
9,03_G245-2,2.6037,3194,2991,203,0,2
10,03_G139-2,2.5927,1376,1351,25,0,2
11,03_G276,2.576,648,631,17,0,2
12,03_G257,2.5103,279,250,4,25,3
13,03_G141,2.4841,685,590,95,0,2
14,03_G221,2.4801,312,284,28,0,2
15,03_G33,2.4594,461,223,238,0,2
16,03_G186,2.4456,259,189,31,39,3
17,03_G147,2.4447,626,619,0,7,2
18,03_G47,2.3922,517,497,0,20,2
19,03_G14,2.3865,102,89,0,13,2
20,03_G88,2.3837,258,202,56,0,2
21,03_G260-2,2.3774,243,209,34,0,2
22,03_G272,2.3694,196,152,29,15,3
23,03_G214,2.3545,945,773,172,0,2
24,03_G239,2.34,536,457,0,79,2
25,03_G158,2.3235,223,97,126,0,2
26,03_G169,2.3198,554,370,168,16,3
27,03_G18,2.2942,783,647,0,136,2
28,03_G93,2.2747,971,945,0,26,2
29,03_G291,2.2717,10111,9877,234,0,2
30,03_G251,2.2693,226,107,3,116,3
31,03_G42,2.2641,315,275,0,40,2
32,03_G28,2.2614,1038,970,68,0,2
33,03_G241,2.2609,2812,2768,44,0,2
34,03_G159,2.2578,229,84,145,0,2
35,03_G298,2.2365,264,173,23,68,3
36,03_G59,2.2346,524,484,40,0,2
37,03_G61,2.2215,545,493,52,0,2
38,03_G179,2.2176,448,422,2,24,3
39,03_G134,2.1919,2317,2307,7,3,3
40,03_G11,2.1814,219,197,22,0,2
41,03_G259,2.1793,223,213,0,10,2
42,03_G271,2.176,271,215,45,11,3
43,03_G111,2.1679,211,202,9,0,2
44,03_G91,2.1653,326,314,8,4,3
45,03_G29,2.1543,442,331,111,0,2
46,03_G171,2.1537,227,192,35,0,2
47,03_G167,2.141,452,148,304,0,2
48,03_G249,2.1329,219,213,6,0,2
49,03_G165,2.131,823,657,166,0,2
50,03_G225,2.1267,159,134,0,25,2
51,03_G48,2.1148,1096,978,118,0,2
52,03_G212,2.106,478,69,409,0,2
53,03_G293,2.086,4576,4567,9,0,2
54,03_G177,2.0757,831,814,0,17,2
55,03_G95,2.0639,427,424,0,3,2
56,03_G148,2.0607,191,186,0,5,2
57,03_G227,2.0556,2329,2328,0,1,2
58,03_G201,2.0555,338,36,302,0,2
59,03_G246-1,2.0341,755,265,490,0,2
60,03_G285-2,2.0272,221,210,0,11,2
61,03_G231-1,2.0238,654,620,34,0,2
62,03_G280,2.0204,1053,977,76,0,2
63,03_G27,2.0164,121,56,61,4,3
64,03_G196,2.0156,526,502,24,0,2
65,03_G192-2,2.01,327,303,24,0,2
66,03_G234,2.0078,427,375,0,52,2
67,03_G84,1.9746,1862,1787,75,0,2
68,03_G115,1.9593,189,174,15,0,2
69,03_G194,1.9488,218,204,14,0,2
70,03_G299,1.9348,841,630,211,0,2
71,03_G166,1.8973,176,136,40,0,2
72,03_G138,1.8816,330,329,1,0,2
73,03_G135,1.8659,399,245,142,12,3
74,03_G274,1.8612,177,38,139,0,2
75,03_G236,1.8503,1047,1039,8,0,2
76,03_G184-1,1.8491,80,75,5,0,2
77,03_G285-1,1.8435,785,781,0,4,2
78,03_G286,1.8376,311,253,58,0,2
79,03_G9,1.8306,277,246,28,3,3
80,03_G45,1.8215,373,369,4,0,2
81,03_G231-2,1.8152,151,147,4,0,2
82,03_G73,1.7921,341,334,7,0,2
83,03_G200,1.7709,122,26,96,0,2
84,03_G104,1.7669,159,148,11,0,2
85,03_G119,1.7302,213,210,0,3,2
86,03_G240,1.6793,350,88,262,0,2
87,03_G246-2,1.6667,445,73,372,0,2
88,03_G62-1,1.664,450,425,25,0,2
89,03_G245-1,1.6158,780,120,660,0,2
90,03_G121,1.592,211,147,64,0,2
91,03_G54,1.5725,317,306,7,4,3
92,03_G123,1.5722,280,223,57,0,2
93,03_G294,1.5447,121,15,106,0,2
94,03_G17,1.5394,434,429,0,5,2
95,03_G145,1.5317,170,8,162,0,2
96,03_G78,1.5221,305,293,0,12,2
97,03_G268,1.5168,616,558,58,0,2
98,03_G85,1.5059,1116,949,167,0,2
99,03_G118,1.4643,378,340,38,0,2
100,03_G282,1.4408,412,105,307,0,2
101,03_G12,1.3758,128,124,4,0,2
102,03_G277,1.3675,245,228,15,2,3
103,03_G204,1.3633,141,118,0,23,2
104,03_G176,1.2097,114,105,0,9,2
105,03_G58,0.6436,244,2,242,0,2
106,03_G51,0.5552,196,187,9,0,2
107,03_G109-1,0.5047,269,4,265,0,2
